,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HomeTeamStreak_AtHome,HomeTeamStreak_AtAway,AwayTeamStreak_AtHome,AwayTeamStreak_AtAway
105,F1,25/10/15,Bordeaux,Troyes,2.0,12.999999999999998,3.8,2,7,3,14.0,2.4,0.30000000000000004,1.3,11.7,3.3000000000000007,0,4,6,11.8,2.1,0.2,0.5,2,-2,-3,-3
106,F1,25/10/15,Lille,Marseille,0.0,13.5,3.6,2,6,3,17.400000000000002,2.6999999999999997,0.2,0.5,14.6,5.3,2,3,5,12.8,2.2,2.1,1.5000000000000004,1,0,-1,-1
107,F1,25/10/15,Paris SG,St Etienne,2.0,15.0,6.2,8,7,0,11.2,1.4,0.1,2.1,12.6,4.1,6,1,3,14.3,1.8,0.0,1.2999999999999998,3,5,1,-1
108,F1,25/10/15,Reims,Monaco,0.0,9.4,4.0,4,6,3,12.8,2.4000000000000004,0.0,1.1000000000000003,11.9,4.7,3,5,2,15.000000000000002,2.3000000000000003,0.1,1.4000000000000004,-1,-1,-2,3
109,F1,30/10/15,Rennes,Paris SG,0.0,11.727272727272727,4.0,4,8,2,14.0,1.9090909090909092,0.18181818181818185,1.363636363636363,15.545454545454547,6.545454545454546,9,2,0,11.0,1.272727272727273,1.0,2.272727272727273,-1,1,4,5
110,F1,31/10/15,Ajaccio GFCO,Bordeaux,2.0,10.0,2.9090909090909087,1,8,7,13.545454545454547,2.636363636363636,0.18181818181818185,0.6363636363636364,13.272727272727273,3.8181818181818183,3,5,3,13.545454545454545,2.272727272727273,3.0,1.2727272727272727,1,-3,3,-2
111,F1,31/10/15,Bastia,Caen,2.0,8.0,2.545454545454545,3,6,7,11.727272727272727,1.7272727272727273,0.3636363636363637,1.0909090909090908,13.181818181818182,5.363636363636362,7,0,4,12.181818181818182,1.272727272727273,1.0909090909090908,1.0909090909090908,-1,-2,-1,1
112,F1,31/10/15,Guingamp,Lorient,1.0,12.272727272727273,4.090909090909091,4,8,4,13.818181818181815,2.1818181818181817,0.0,0.9090909090909092,10.545454545454543,4.181818181818182,4,4,3,12.545454545454545,1.9090909090909087,1.2727272727272725,1.4545454545454544,0,1,2,-1
113,F1,31/10/15,St Etienne,Reims,2.0,12.727272727272727,4.2727272727272725,6,7,4,14.363636363636365,1.6363636363636365,0.0,1.2727272727272727,9.727272727272727,4.181818181818182,4,3,4,12.818181818181818,2.2727272727272725,0.09090909090909093,1.0,1,-2,-2,-1
114,F1,31/10/15,Toulouse,Montpellier,1.0,12.181818181818185,4.2727272727272725,1,9,5,11.818181818181815,1.8181818181818183,0.4545454545454545,1.0,9.909090909090908,3.2727272727272725,2,2,7,12.818181818181815,2.0,0.0,0.7272727272727273,-1,-4,2,-1
115,F1,31/10/15,Troyes,Lyon,0.0,11.636363636363635,3.181818181818181,0,8,7,12.181818181818182,2.2727272727272725,0.18181818181818185,0.4545454545454546,14.909090909090908,5.454545454545454,5,4,2,13.181818181818185,1.181818181818182,0.0,1.3636363636363635,-3,-4,3,-1
