,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
113,F1,5/11/2016,Dijon,Guingamp,1,9.727272727,3.636363636,3,7,4,11.09090909,1.636363636,0.181818182,1.181818182,9.363636364,4,6,2,3,12.72727273,1.545454545,3,1.272727273,10128,19416,29544
114,F1,5/11/2016,Lyon,Bastia,2,14.27272727,5.727272727,5,6,5,13.90909091,1.909090909,0.272727273,1.636363636,10.36363636,4.272727273,3,2,6,13.54545455,2.545454545,0.090909091,0.727272727,38203,20847,59050
115,F1,5/11/2016,Monaco,Nancy,2,12.36363636,5.272727273,7,7,2,13.72727273,1.818181818,0.090909091,2.727272727,9.636363636,2.181818182,2,3,6,14.72727273,2.363636364,0,0.636363636,9420,18961,28381
116,F1,5/11/2016,Nantes,Toulouse,1,12.81818182,4.363636364,3,7,6,14.54545455,2.272727273,0,0.727272727,9.909090909,2.909090909,5,3,3,16.18181818,3,0,1.363636364,23152,19819,42971
117,F1,6/11/2016,Caen,Nice,2,11.45454545,3.181818182,3,6,7,10.81818182,1.454545455,0,0.818181818,12.36363636,5.454545455,9,2,0,10.90909091,1.363636364,0.090909091,2.181818182,15786,22293,38079
118,F1,6/11/2016,Metz,St Etienne,1,9.090909091,3.181818182,4,6,6,14.45454545,2.545454545,0.181818182,1,11.45454545,3.181818182,4,5,2,13.72727273,1.545454545,1,1.272727273,16196,23040,39236
119,F1,6/11/2016,Paris SG,Rennes,2,14.09090909,4.909090909,7,8,2,10.45454545,1.272727273,0.090909091,1.818181818,11.54545455,3.545454545,6,2,3,11.18181818,1.636363636,0,1.181818182,45159,19531,64690
120,F1,18/11/16,Lille,Lyon,0,11.41666667,3.166666667,3,6,8,14.66666667,1.666666667,0.083333333,0.833333333,15,5.833333333,6,1,5,13.33333333,1.833333333,2.083333333,1.666666667,29487,22257,51744
121,F1,18/11/16,Lorient,Monaco,0,11.91666667,3.25,2,7,9,12.33333333,2,0.333333333,0.75,12.66666667,5.5,8,2,2,13.41666667,1.666666667,1,3,11832,24370,36202
122,F1,19/11/16,Bastia,Montpellier,1,10.33333333,4.25,3,8,7,13.58333333,2.5,0.25,0.75,11.5,3.833333333,3,5,4,12.41666667,1,1.083333333,1.583333333,10511,18795,29306
123,F1,19/11/16,Nancy,Dijon,2,9.5,2.083333333,2,7,7,15,2.25,0,0.583333333,10,3.916666667,3,5,4,11.16666667,1.5,2,1.333333333,17516,19831,37347
124,F1,19/11/16,Paris SG,Nantes,2,14.41666667,5,8,8,2,10.16666667,1.25,0.083333333,2,12.83333333,4.166666667,3,3,6,14.75,2.416666667,0,0.75,45159,19547,64706
125,F1,19/11/16,Rennes,Angers,1,10.91666667,3.333333333,6,7,4,11.08333333,1.666666667,0,1.083333333,13.08333333,4.25,5,2,5,11.83333333,1.416666667,0.083333333,0.916666667,22689,20294,42983
126,F1,19/11/16,Toulouse,Metz,0,9.416666667,3,5,7,3,15.5,2.916666667,0,1.333333333,9.5,3.083333333,4,2,6,14.66666667,2.5,1.083333333,0.916666667,17068,19465,36533
