,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
183,F1,21/12/2019,19:45,Paris SG,Amiens,4,1,2.0,1,0,2.0,22,8,10,3,16,10,7,3,0,1,0,0
184,F1,21/12/2019,19:45,Reims,Lyon,1,1,1.0,1,1,1.0,12,15,3,4,11,16,4,4,2,3,0,0
185,F1,21/12/2019,19:45,Rennes,Bordeaux,1,0,2.0,0,0,1.0,12,13,5,2,11,13,2,8,0,3,0,0
186,F1,21/12/2019,19:45,Strasbourg,St Etienne,2,1,2.0,1,0,2.0,5,6,3,1,16,13,2,7,3,2,0,0
187,F1,10/01/2020,19:45,Rennes,Marseille,0,1,0.0,0,0,1.0,9,10,2,4,15,17,4,1,2,5,0,0
188,F1,11/01/2020,16:30,Bordeaux,Lyon,1,2,0.0,1,0,2.0,5,22,2,6,12,12,5,4,1,3,0,0
189,F1,11/01/2020,19:00,Amiens,Montpellier,1,2,0.0,1,0,2.0,7,11,3,4,18,13,4,1,2,1,0,0
190,F1,11/01/2020,19:00,Angers,Nice,1,1,1.0,1,1,1.0,16,8,9,2,11,12,7,2,1,3,0,0
191,F1,11/01/2020,19:00,Metz,Strasbourg,1,0,2.0,0,0,1.0,9,14,4,3,12,16,1,6,1,2,0,0
192,F1,11/01/2020,19:00,Nimes,Reims,2,0,2.0,1,0,2.0,13,6,4,2,17,26,5,3,1,5,0,1
193,F1,11/01/2020,19:00,Toulouse,Brest,2,5,0.0,2,1,2.0,12,15,5,9,19,10,5,6,1,0,0,0
194,F1,12/01/2020,14:00,St Etienne,Nantes,0,2,0.0,0,1,0.0,10,11,1,4,14,10,2,1,2,1,0,0
195,F1,12/01/2020,16:00,Dijon,Lille,1,0,2.0,0,0,1.0,15,12,7,6,11,20,2,7,2,4,1,1
196,F1,12/01/2020,20:00,Paris SG,Monaco,3,3,1.0,3,2,2.0,13,16,6,6,6,9,7,7,0,3,0,0
197,F1,15/01/2020,18:00,Amiens,Reims,1,1,1.0,0,1,0.0,6,6,3,1,26,16,2,1,1,3,0,0
198,F1,15/01/2020,18:00,Nimes,Rennes,0,1,0.0,0,0,1.0,6,8,1,2,23,20,3,2,1,3,0,0
199,F1,15/01/2020,20:00,Monaco,Paris SG,1,4,0.0,0,2,0.0,13,17,4,12,9,14,3,5,2,3,0,0
200,F1,24/01/2020,19:45,Nice,Rennes,1,1,1.0,0,0,1.0,23,21,4,5,13,14,9,8,0,1,0,0
201,F1,25/01/2020,16:30,Marseille,Angers,0,0,1.0,0,0,1.0,9,4,2,0,17,13,4,2,1,2,0,0
202,F1,25/01/2020,19:00,Brest,Amiens,2,1,2.0,0,0,1.0,10,8,3,3,13,17,2,7,2,4,0,0
203,F1,25/01/2020,19:00,Monaco,Strasbourg,1,3,0.0,0,1,0.0,12,11,3,7,8,9,5,5,1,0,0,0
