,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
100,F1,28/10/17,Bordeaux,Monaco,0,14.8,4.9,4,7,2,13.8,2,0,1.6,14.3,5.3,7,1,2,13.8,1.9,0,2.6,26048,23813,49861
101,F1,28/10/17,Caen,Troyes,2,12.2,2.9,5,5,5,14.5,1.4,0.1,0.7,9.1,2.8,3,3,4,11.9,2.1,1.3,0.9,17187,21602,38789
102,F1,28/10/17,Dijon,Nantes,2,12,4.4,2,6,5,13.5,2.1,0.1,1.3,11,3.9,6,2,2,12.2,1.5,1,0.9,12228,22181,34409
103,F1,28/10/17,Guingamp,Amiens,1,11.9,4.3,4,6,5,13.5,1.7,0,1.2,9.222222222,2.111111111,3,0,6,13.66666667,2.666666667,1,0.555555556,14502,22086,36588
104,F1,28/10/17,Montpellier,Rennes,0,12,2.9,4,7,3,11.6,2.2,0.1,0.8,13.3,3.9,2,3,5,13.5,2.2,2,1.2,13458,21642,35100
105,F1,28/10/17,Strasbourg,Angers,1,13.3,4,2,7,5,13.3,1.9,0.2,1.1,13.2,4.6,2,6,2,14.3,2.2,1,1.4,24064,21306,45370
106,F1,29/10/17,Lille,Marseille,0,11.77777778,3.333333333,1,6,5,13.55555556,2,0.444444444,0.666666667,15.5,5.5,5,3,2,14,3.1,1.1,2,33200,26919,60119
107,F1,29/10/17,Lyon,Metz,2,14.6,6.1,5,7,1,14,2.2,0.2,2.5,9.7,3.3,1,0,9,12.3,1.9,1.2,0.5,46005,22504,68509
108,F1,29/10/17,Toulouse,St Etienne,1,9.3,3,4,6,4,17.4,2.8,0,1.1,12.7,4.1,5,2,3,13.5,2.2,1.2,1.3,16929,22820,39749
109,F1,3/11/2017,Rennes,Bordeaux,2,12.72727273,3.727272727,3,7,5,13.81818182,2.181818182,0.181818182,1.181818182,14.54545455,4.818181818,4,4,3,14.54545455,2,0,1.454545455,23111,22009,45120
110,F1,4/11/2017,Angers,Paris SG,0,12.45454545,4.363636364,2,9,2,14.09090909,2.181818182,0.090909091,1.454545455,15.81818182,7.090909091,9,2,0,11.72727273,1.636363636,1.090909091,3.090909091,11065,29502,40567
111,F1,4/11/2017,Monaco,Guingamp,2,14.09090909,5.272727273,8,7,2,13.63636364,1.727272727,0,2.545454545,11.90909091,4.272727273,4,2,5,13.72727273,1.636363636,0,1.181818182,9243,22165,31408
112,F1,4/11/2017,Montpellier,Amiens,1,11.72727273,3,4,7,4,11.90909091,2.363636364,0.090909091,0.727272727,9,2.1,3,1,6,14.3,2.9,2,0.6,13458,22086,35544
113,F1,4/11/2017,Nantes,Toulouse,2,10.90909091,3.545454545,6,7,3,12.81818182,1.545454545,0.090909091,0.818181818,9.454545455,3.090909091,4,3,4,17.27272727,2.727272727,0,1,24559,21412,45971
114,F1,4/11/2017,Troyes,Strasbourg,2,9,2.818181818,3,7,5,12,2.181818182,0.363636364,0.818181818,13.36363636,4.181818182,2,4,5,13,2,1.090909091,1.181818182,11723,20496,32219
115,F1,5/11/2017,Marseille,Caen,2,15,5.272727273,6,8,2,14.27272727,3.090909091,0.181818182,1.909090909,12.54545455,2.909090909,6,0,5,14.27272727,1.363636364,0.090909091,0.727272727,47314,20701,68015
116,F1,5/11/2017,Metz,Lille,0,9.454545455,3.363636364,1,6,10,12.72727273,2,0.272727273,0.454545455,12.4,3.7,1,3,6,14,2,2.2,0.6,14844,21878,36722
117,F1,5/11/2017,Nice,Dijon,2,12.72727273,5.272727273,3,6,7,11.81818182,2,0,1.181818182,11.45454545,4.090909091,3,3,5,13.63636364,2.181818182,0.090909091,1.272727273,22876,21658,44534
118,F1,5/11/2017,St Etienne,Lyon,0,11.90909091,3.909090909,5,7,3,14,2.272727273,0.272727273,1.181818182,14.36363636,5.909090909,6,4,1,13.90909091,2,1.090909091,2.454545455,28142,24477,52619
119,F1,17/11/17,Amiens,Monaco,1,9.272727273,2,3,7,6,14.09090909,2.727272727,0.181818182,0.636363636,14.41666667,5.583333333,9,1,2,13.91666667,1.666666667,0,2.833333333,9489,23813,33302
120,F1,17/11/17,Lille,St Etienne,2,12.54545455,4,2,7,6,14.45454545,2,0.363636364,0.818181818,12,3.75,5,3,4,14.66666667,2.166666667,1.25,1.083333333,33200,22820,56020
121,F1,18/11/17,Dijon,Troyes,2,11.58333333,4.083333333,3,7,6,13.25,2.083333333,0.083333333,1.166666667,9.333333333,3.083333333,4,3,5,12.5,2.25,1.25,1,12228,21602,33830
122,F1,18/11/17,Guingamp,Angers,1,11.91666667,4.166666667,4,8,6,13.33333333,1.583333333,0,1.083333333,12.16666667,4.25,2,7,3,13.58333333,2.083333333,1,1.333333333,14502,21306,35808
123,F1,18/11/17,Paris SG,Nantes,2,15.75,7.083333333,10,6,0,11.83333333,1.75,0.166666667,3.25,10.91666667,3.75,7,2,3,13.41666667,1.583333333,1,0.916666667,46930,22181,69111
124,F1,18/11/17,Strasbourg,Rennes,2,13.08333333,4,2,9,6,12.58333333,1.916666667,0.25,1.083333333,12.16666667,3.583333333,4,3,5,13.83333333,2.166666667,2,1.166666667,24064,21642,45706
125,F1,18/11/17,Toulouse,Metz,1,9.5,3.083333333,4,8,5,17.16666667,2.833333333,0,1,10.25,3.5,1,0,11,12.75,2.083333333,1.166666667,0.416666667,16929,22504,39433
126,F1,19/11/17,Bordeaux,Marseille,1,13.83333333,4.416666667,4,8,4,15.5,2.25,0,1.333333333,16.08333333,5.75,7,3,2,13.5,2.833333333,1.083333333,2.166666667,26048,26919,52967
