,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF
85,F1,05/10/2019,19:00,Nantes,Nice,2.0,12.75,4.125,5,5,2,15.0,1.75,0.0,1.0,12.125,4.75,4,1,3,10.25,2.625,1.0,1.5,75,73,74,74,76,74
86,F1,05/10/2019,19:00,Toulouse,Bordeaux,0.0,10.875,3.75,2,5,3,13.625,1.0,0.125,1.0,12.625,4.25,3,3,2,14.0,2.0,0.0,1.5,72,74,71,75,75,76
87,F1,06/10/2019,14:00,Lille,Nimes,1.0,12.625,4.375,4,4,2,9.875,1.125,0.25,1.375,15.125,4.5,2,2,4,14.125,2.0,0.25,0.875,77,77,76,72,70,72
88,F1,06/10/2019,16:00,Rennes,Reims,0.0,9.5,2.875,3,6,2,14.5,2.0,0.125,1.0,12.125,2.75,3,2,3,13.625,1.5,0.0,0.875,76,77,76,71,73,73
89,F1,06/10/2019,20:00,St Etienne,Lyon,2.0,11.625,3.625,2,7,4,12.375,2.125,0.125,0.875,12.125,4.625,2,3,3,11.125,2.0,1.125,1.75,73,76,74,79,78,77
90,F1,18/10/2019,19:45,Nice,Paris SG,0.0,11.444444444444445,4.4444444444444455,4,6,4,9.888888888888893,2.5555555555555562,0.1111111111111111,1.3333333333333337,15.222222222222221,6.0,7,0,2,12.222222222222225,1.8888888888888888,0.0,1.8888888888888893,74,76,74,88,84,83
91,F1,19/10/2019,16:30,Lyon,Dijon,1.0,11.444444444444445,4.333333333333333,2,6,4,11.888888888888886,2.0,0.2222222222222222,1.5555555555555558,12.666666666666668,4.111111111111111,2,2,5,12.777777777777779,1.7777777777777777,0.0,0.5555555555555556,79,78,77,72,72,70
92,F1,19/10/2019,19:00,Angers,Brest,0.0,14.222222222222221,4.2222222222222205,5,5,3,12.555555555555555,1.1111111111111112,0.0,1.7777777777777777,9.777777777777779,3.333333333333334,2,5,2,12.333333333333332,1.7777777777777777,0.0,1.1111111111111112,74,75,74,72,72,72
93,F1,19/10/2019,19:00,Metz,Nantes,2.0,11.222222222222225,3.555555555555556,2,6,5,12.444444444444445,1.3333333333333337,0.0,0.8888888888888891,12.888888888888886,4.222222222222221,6,1,2,14.888888888888886,1.666666666666667,0.0,1.0000000000000002,73,72,72,75,73,74
94,F1,19/10/2019,19:00,Nimes,Amiens,1.0,15.0,4.4444444444444455,2,5,4,13.666666666666664,1.8888888888888893,0.2222222222222222,1.0,8.777777777777779,2.8888888888888884,3,2,4,11.777777777777775,1.5555555555555558,1.1111111111111112,1.3333333333333333,72,70,72,73,73,71
95,F1,19/10/2019,19:00,Reims,Montpellier,2.0,12.222222222222221,3.2222222222222223,4,7,3,14.222222222222221,1.6666666666666667,0.0,0.8888888888888888,13.444444444444445,4.666666666666667,4,2,3,16.22222222222222,2.1111111111111107,1.0,1.0,71,73,73,78,74,75
96,F1,19/10/2019,19:00,Toulouse,Lille,2.0,11.333333333333332,3.7777777777777777,2,5,4,13.888888888888891,1.3333333333333333,0.1111111111111111,1.0,13.222222222222221,4.666666666666667,4,3,2,10.888888888888891,1.3333333333333333,2.0,1.4444444444444446,72,74,71,77,77,76
97,F1,20/10/2019,14:00,Bordeaux,St Etienne,0.0,12.333333333333332,4.222222222222221,4,7,2,14.222222222222221,2.0,0.0,1.6666666666666663,10.999999999999998,3.666666666666667,3,2,4,12.444444444444445,2.0,1.0,0.8888888888888891,75,75,76,73,76,74
98,F1,20/10/2019,16:00,Monaco,Rennes,2.0,14.111111111111109,5.8888888888888875,2,5,4,10.555555555555557,2.1111111111111107,0.4444444444444444,1.6666666666666663,10.444444444444443,2.8888888888888893,3,3,3,14.333333333333336,1.8888888888888893,1.0,0.8888888888888891,80,78,76,76,77,76
99,F1,20/10/2019,20:00,Marseille,Strasbourg,2.0,12.888888888888891,3.666666666666667,3,7,2,15.222222222222221,3.0000000000000004,0.2222222222222222,1.1111111111111112,11.222222222222221,2.7777777777777786,2,3,4,13.222222222222221,2.2222222222222223,0.1111111111111111,0.6666666666666667,80,78,77,75,74,74
100,F1,25/10/2019,19:45,Nantes,Monaco,0.0,12.500000000000002,4.0,6,6,3,14.7,1.6,0.1,0.8999999999999999,14.1,5.800000000000002,3,3,4,11.0,2.1,2.2,1.8,75,73,74,80,78,76
101,F1,26/10/2019,16:30,Lille,Bordeaux,2.0,12.8,4.4,4,6,3,10.9,1.6,0.2,1.4,12.3,4.4,4,3,3,13.499999999999998,1.7999999999999998,0.0,1.5,77,77,76,75,75,76
102,F1,26/10/2019,19:00,Brest,Dijon,2.0,9.4,3.1,3,8,2,12.2,1.6,0.0,1.1,12.0,3.8,2,3,5,12.599999999999998,1.6,0.0,0.5,72,72,72,72,72,70
103,F1,26/10/2019,19:00,Lyon,Metz,2.0,12.7,4.9,2,7,4,11.9,1.8,0.2,1.4,11.1,3.4,3,2,5,12.8,1.4,0.0,0.9,79,78,77,73,72,72
104,F1,26/10/2019,19:00,Montpellier,Angers,1.0,12.999999999999998,4.199999999999998,4,5,4,15.7,1.9,0.1,0.8999999999999999,15.7,4.4,5,1,4,12.3,1.1,0.0,1.6,78,74,75,74,75,74
105,F1,26/10/2019,19:00,Reims,Nimes,1.0,12.2,3.4000000000000004,5,7,3,14.7,1.7000000000000002,0.0,0.9,14.6,4.3,2,4,4,13.4,1.9,0.2,1.0000000000000002,71,73,73,72,70,72
106,F1,26/10/2019,19:00,Strasbourg,Nice,2.0,11.1,2.7,2,7,5,13.4,2.2,0.1,0.6,11.3,4.2,4,1,5,10.1,2.6,1.2,1.3000000000000005,75,74,74,74,76,74
107,F1,27/10/2019,14:00,Rennes,Toulouse,2.0,10.4,2.9,3,7,4,14.4,2.0,0.1,1.0,11.9,4.0,3,3,4,13.999999999999998,1.4,1.0,1.1,76,77,76,72,74,71
108,F1,27/10/2019,16:00,St Etienne,Amiens,1.0,10.499999999999998,3.6,4,8,4,13.000000000000002,2.1,0.1,0.8999999999999999,9.2,3.1,3,3,4,12.1,1.8000000000000005,1.1,1.3,73,76,74,73,73,71
109,F1,27/10/2019,20:00,Paris SG,Marseille,2.0,16.099999999999998,6.4,8,5,2,12.5,1.9,0.0,2.1,12.7,3.9,4,4,2,15.000000000000002,3.0,0.2,1.2,88,84,83,80,78,77
110,F1,01/11/2019,19:45,Dijon,Paris SG,2.0,12.181818181818182,3.9090909090909087,2,8,6,12.181818181818182,1.4545454545454546,0.0,0.4545454545454546,15.636363636363635,6.454545454545455,9,0,2,12.272727272727273,1.9090909090909087,0.0,2.272727272727273,72,72,70,88,84,83
111,F1,02/11/2019,16:30,Marseille,Lille,2.0,12.0,3.636363636363636,4,8,3,14.181818181818185,2.818181818181817,0.18181818181818185,1.0909090909090908,12.636363636363635,4.2727272727272725,5,3,3,11.454545454545453,1.4545454545454546,2.0,1.5454545454545454,80,78,77,77,77,76
