,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
72,F1,04/10/08,Lille,Valenciennes,2.0,13.714285714285712,5.428571428571429,3,2,2,18.714285714285715,2.2857142857142856,0.14285714285714285,1.4285714285714284,12.142857142857144,3.714285714285714,2,1,4,20.142857142857142,2.0,1.0,0.857142857142857,2008-10-04,MilieuDeTableau,MilieuDeTableau
73,F1,04/10/08,Lorient,Bordeaux,0.0,11.571428571428573,3.0,1,3,3,15.0,1.4285714285714284,0.0,0.5714285714285714,15.714285714285712,6.2857142857142865,3,2,2,16.142857142857142,2.142857142857143,2.0,1.1428571428571426,2008-10-04,BasDeTableau,MilieuDeTableau
74,F1,04/10/08,Marseille,Caen,2.0,18.000000000000004,5.285714285714286,3,4,0,15.428571428571427,1.1428571428571428,0.14285714285714285,1.8571428571428568,13.714285714285715,4.428571428571429,3,2,2,18.0,2.1428571428571423,0.0,1.5714285714285714,2008-10-04,HautDeTableau,HautDeTableau
75,F1,04/10/08,Nice,Sochaux,1.0,10.142857142857142,3.2857142857142856,3,1,3,20.142857142857142,2.142857142857143,0.14285714285714285,1.2857142857142856,16.285714285714285,5.0,0,3,4,15.857142857142858,1.8571428571428568,0.0,0.9999999999999998,2008-10-04,MilieuDeTableau,MilieuDeTableau
76,F1,04/10/08,Toulouse,Auxerre,2.0,9.285714285714286,3.2857142857142856,4,2,1,17.57142857142857,1.8571428571428568,0.0,1.0,10.571428571428571,4.285714285714286,3,1,3,14.0,1.2857142857142856,0.0,1.4285714285714284,2008-10-04,HautDeTableau,MilieuDeTableau
77,F1,05/10/08,Nancy,Paris SG,1.0,10.142857142857146,2.2857142857142856,1,4,2,17.0,1.5714285714285714,0.14285714285714285,0.7142857142857142,10.142857142857146,3.2857142857142856,3,1,3,17.285714285714285,2.2857142857142856,0.0,0.5714285714285714,2008-10-05,BasDeTableau,BasDeTableau
78,F1,05/10/08,Rennes,Lyon,2.0,15.571428571428571,5.857142857142858,2,4,1,18.85714285714285,2.285714285714285,0.14285714285714285,1.1428571428571428,16.571428571428573,6.285714285714287,6,1,0,15.285714285714285,1.5714285714285712,1.0,1.714285714285714,2008-10-05,MilieuDeTableau,HautDeTableau
79,F1,05/10/08,St Etienne,Monaco,2.0,15.857142857142858,4.142857142857142,2,1,4,17.857142857142858,1.5714285714285712,0.0,0.5714285714285714,8.999999999999998,2.7142857142857144,2,3,2,21.142857142857142,1.5714285714285712,0.0,0.7142857142857142,2008-10-05,BasDeTableau,BasDeTableau
80,F1,18/10/08,Bordeaux,Toulouse,2.0,15.875,6.0,4,2,2,16.25,1.875,0.25,1.25,10.5,3.5,5,2,1,17.625,1.75,0.0,1.0,2008-10-18,MilieuDeTableau,HautDeTableau
81,F1,18/10/08,Caen,Grenoble,1.0,13.625,4.5,3,2,3,19.125,2.125,0.0,1.5,8.875,2.5,4,1,3,15.0,1.75,1.125,0.75,2008-10-18,HautDeTableau,MilieuDeTableau
82,F1,18/10/08,Lyon,Lille,1.0,15.625,5.75,6,1,1,14.875,1.5,0.125,1.5,13.5,5.25,4,2,2,18.5,2.125,1.0,1.375,2008-10-18,HautDeTableau,HautDeTableau
83,F1,18/10/08,Monaco,Nice,0.0,9.125,2.625,2,3,3,20.5,1.5,0.0,0.625,10.25,3.75,3,2,3,20.125,2.0,1.0,1.25,2008-10-18,BasDeTableau,MilieuDeTableau
84,F1,18/10/08,Nantes,St Etienne,2.0,12.375,3.5,2,1,5,18.625,2.0,0.0,0.75,15.5,4.375,3,1,4,16.75,1.375,0.0,0.75,2008-10-18,MilieuDeTableau,MilieuDeTableau
85,F1,18/10/08,Paris SG,Lorient,2.0,10.5,3.625,3,2,3,16.625,2.125,0.0,0.625,11.5,3.125,1,3,4,15.125,1.25,0.0,0.625,2008-10-18,MilieuDeTableau,BasDeTableau
86,F1,18/10/08,Sochaux,Le Havre,1.0,15.25,4.75,0,4,4,16.875,1.875,0.0,1.0,12.25,2.5,1,1,6,15.375,1.0,0.0,0.625,2008-10-18,MilieuDeTableau,BasDeTableau
87,F1,19/10/08,Auxerre,Rennes,1.0,10.375,4.0,3,1,4,14.25,1.25,0.0,1.25,15.125,5.625,3,4,1,17.625,2.0,1.0,1.375,2008-10-19,MilieuDeTableau,HautDeTableau
88,F1,19/10/08,Le Mans,Nancy,2.0,9.625,3.5,4,2,2,20.0,1.875,0.0,1.75,10.5,2.5,1,5,2,16.625,1.5,0.125,0.75,2008-10-19,HautDeTableau,MilieuDeTableau
89,F1,19/10/08,Valenciennes,Marseille,0.0,11.625,3.5,2,1,5,20.5,1.875,0.125,0.75,17.25,4.875,4,4,0,15.75,1.25,1.125,1.875,2008-10-19,MilieuDeTableau,HautDeTableau
90,F1,25/10/08,Auxerre,Lyon,1.0,11.0,4.333333333333333,3,2,4,14.111111111111114,1.2222222222222223,0.0,1.1111111111111112,15.888888888888891,5.777777777777778,6,2,1,14.555555555555555,1.4444444444444446,1.0,1.5555555555555558,2008-10-25,MilieuDeTableau,HautDeTableau
91,F1,25/10/08,Le Havre,Valenciennes,2.0,12.888888888888891,2.888888888888889,1,2,6,15.111111111111109,1.1111111111111112,0.0,0.6666666666666667,11.444444444444445,3.4444444444444446,2,1,6,20.666666666666664,2.0000000000000004,1.0,0.7777777777777779,2008-10-25,BasDeTableau,BasDeTableau
92,F1,25/10/08,Lille,Caen,1.0,13.222222222222221,5.333333333333333,4,3,2,19.111111111111114,2.1111111111111107,0.1111111111111111,1.4444444444444446,14.111111111111109,4.5555555555555545,3,3,3,18.33333333333333,2.0000000000000004,0.0,1.5555555555555554,2008-10-25,HautDeTableau,HautDeTableau
93,F1,25/10/08,Lorient,Nantes,2.0,11.555555555555555,3.111111111111111,1,3,5,15.111111111111107,1.2222222222222223,0.0,0.7777777777777778,12.777777777777779,3.666666666666667,3,1,5,19.444444444444443,2.0,0.0,0.7777777777777779,2008-10-25,BasDeTableau,BasDeTableau
94,F1,25/10/08,Nice,Bordeaux,1.0,10.666666666666666,3.666666666666667,4,2,3,20.11111111111111,2.1111111111111107,0.1111111111111111,1.3333333333333337,15.444444444444445,5.777777777777778,5,2,2,16.22222222222222,1.8888888888888888,2.0,1.3333333333333337,2008-10-25,MilieuDeTableau,HautDeTableau
95,F1,25/10/08,Rennes,Le Mans,1.0,14.666666666666668,5.333333333333334,3,5,1,17.555555555555557,2.111111111111112,0.1111111111111111,1.2222222222222219,10.222222222222221,3.666666666666667,5,2,2,20.222222222222218,1.8888888888888888,0.0,1.777777777777778,2008-10-25,MilieuDeTableau,HautDeTableau
96,F1,25/10/08,Toulouse,Monaco,1.0,10.111111111111112,3.777777777777777,5,2,2,17.555555555555557,1.8888888888888893,0.0,1.0,10.222222222222221,3.0,2,3,4,21.666666666666664,1.5555555555555558,0.1111111111111111,0.6666666666666667,2008-10-25,MilieuDeTableau,BasDeTableau
97,F1,26/10/08,Marseille,Paris SG,0.0,17.22222222222222,4.666666666666667,5,4,0,16.444444444444443,1.2222222222222223,0.2222222222222222,2.0000000000000004,10.444444444444443,4.0,4,2,3,16.666666666666668,2.1111111111111107,0.0,0.8888888888888888,2008-10-26,HautDeTableau,MilieuDeTableau
98,F1,26/10/08,Nancy,Sochaux,1.0,10.555555555555557,2.333333333333333,1,5,3,15.555555555555555,1.4444444444444444,0.1111111111111111,0.6666666666666667,14.777777777777779,5.111111111111111,0,5,4,17.11111111111111,1.6666666666666663,0.0,1.0000000000000002,2008-10-26,BasDeTableau,MilieuDeTableau
99,F1,26/10/08,St Etienne,Grenoble,0.0,14.666666666666664,4.222222222222221,3,1,5,17.333333333333332,1.6666666666666667,0.0,0.6666666666666666,9.555555555555557,3.0,4,2,3,15.333333333333336,1.8888888888888888,1.1111111111111112,0.8888888888888891,2008-10-26,BasDeTableau,MilieuDeTableau
100,F1,28/10/08,Bordeaux,Le Havre,2.0,15.499999999999998,6.000000000000001,5,3,2,16.8,2.0,0.2,1.4,12.500000000000002,3.1000000000000005,2,2,6,14.7,1.1,0.0,0.8,2008-10-28,HautDeTableau,BasDeTableau
101,F1,29/10/08,Caen,Nice,1.0,13.500000000000002,4.5,3,4,3,18.2,1.8,0.0,1.6,10.8,3.6,4,3,3,19.4,2.0000000000000004,1.0,1.4,2008-10-29,HautDeTableau,HautDeTableau
102,F1,29/10/08,Grenoble,Lille,1.0,9.400000000000002,3.1,5,2,3,14.9,1.8000000000000005,0.2,1.0,13.7,5.3,4,4,2,20.1,1.9,1.0,1.5,2008-10-29,MilieuDeTableau,HautDeTableau
103,F1,29/10/08,Le Mans,Auxerre,0.0,10.7,3.7000000000000006,5,3,2,19.6,1.9,0.0,1.8,11.2,4.2,3,3,4,13.6,1.1,0.0,1.0,2008-10-29,HautDeTableau,MilieuDeTableau
104,F1,29/10/08,Monaco,Nancy,2.0,10.000000000000002,2.9000000000000004,2,4,4,21.000000000000004,1.6,0.1,0.6,11.5,2.2000000000000006,1,6,3,15.2,1.4,0.1,0.7,2008-10-29,BasDeTableau,BasDeTableau
105,F1,29/10/08,Nantes,Marseille,1.0,12.0,3.4000000000000004,3,1,6,19.4,2.0,0.0,0.7,17.9,4.8,5,4,1,16.6,1.2000000000000002,1.1,2.0000000000000004,2008-10-29,BasDeTableau,HautDeTableau
